Date,Open,High,Low,Close,Volume,Time
2023-10-12,893.8,893.9,893.0,893.4,5879,13:05:00
2023-10-12,893.25,894.0,893.0,893.8,15066,13:10:00
2023-10-12,893.95,894.0,893.25,893.6,6885,13:15:00
2023-10-12,893.5,894.0,892.65,893.1,4864,13:20:00
2023-10-12,893.0,893.25,891.85,892.75,8131,13:25:00
2023-10-12,892.95,892.95,891.65,892.25,5082,13:30:00
2023-10-12,892.3,892.85,891.7,892.35,5161,13:35:00
2023-10-12,892.4,892.75,892.15,892.45,5449,13:40:00
2023-10-12,892.45,893.85,891.75,893.85,6191,13:45:00
2023-10-12,893.9,894.0,892.5,892.75,10468,13:50:00
2023-10-12,892.9,893.1,892.3,892.4,5135,13:55:00
2023-10-12,892.5,893.0,891.75,892.0,5737,14:00:00
2023-10-12,891.9,892.8,891.75,892.1,4671,14:05:00
2023-10-12,892.05,892.75,891.45,891.65,5237,14:10:00
2023-10-12,891.65,892.6,891.4,892.6,6636,14:15:00
2023-10-12,892.6,892.9,891.85,892.15,5961,14:20:00
2023-10-12,892.0,892.5,891.9,892.2,3796,14:25:00
2023-10-12,892.3,892.75,891.5,892.0,6289,14:30:00
2023-10-12,891.95,892.65,891.35,891.8,5787,14:35:00
2023-10-12,891.8,892.55,891.6,892.5,9622,14:40:00
2023-10-12,892.55,893.0,892.1,892.75,4895,14:45:00
2023-10-12,892.7,892.9,891.95,892.5,3106,14:50:00
2023-10-12,892.5,893.5,892.1,893.25,11668,14:55:00
2023-10-12,893.4,893.5,891.2,891.4,17519,15:00:00
2023-10-12,891.25,893.85,891.15,893.45,16635,15:05:00
2023-10-12,893.45,893.7,892.3,892.75,15164,15:10:00
2023-10-12,892.8,892.8,891.55,892.1,18982,15:15:00
2023-10-12,892.05,892.6,891.4,892.0,21088,15:20:00
2023-10-12,891.5,892.95,891.45,891.7,19895,15:25:00
2023-10-12,892.5,892.5,892.35,892.35,4,15:30:00
2023-10-13,889.35,896.95,889.3,896.4,57255,09:15:00
2023-10-13,896.4,904.95,895.5,900.9,371397,09:20:00
2023-10-13,899.1,902.35,896.65,900.05,183090,09:25:00
2023-10-13,900.05,900.9,898.95,900.0,101054,09:30:00
2023-10-13,900.0,901.5,899.3,901.45,96192,09:35:00
2023-10-13,901.45,905.0,901.0,902.45,112197,09:40:00
2023-10-13,903.3,903.8,902.0,902.3,40180,09:45:00
2023-10-13,902.2,903.95,902.2,903.5,35657,09:50:00
2023-10-13,903.7,903.75,903.0,903.45,21929,09:55:00
2023-10-13,903.5,907.5,903.45,907.5,176328,10:00:00
2023-10-13,907.6,907.8,905.35,907.0,108442,10:05:00
2023-10-13,907.35,907.5,903.55,904.0,70845,10:10:00
2023-10-13,904.05,905.45,903.9,904.1,41494,10:15:00
2023-10-13,904.45,907.0,904.05,906.7,49842,10:20:00
2023-10-13,906.6,911.45,906.6,911.35,268448,10:25:00
2023-10-13,911.4,913.95,910.75,913.35,229810,10:30:00
2023-10-13,913.7,915.35,911.95,915.0,242530,10:35:00
2023-10-13,914.7,915.35,913.1,913.1,108279,10:40:00
2023-10-13,913.1,913.7,912.25,912.65,75817,10:45:00
2023-10-13,912.85,912.85,909.55,910.85,81317,10:50:00
2023-10-13,910.85,912.2,909.6,911.6,63397,10:55:00
2023-10-13,911.8,912.35,910.3,910.85,37907,11:00:00
2023-10-13,910.65,910.95,910.0,910.35,24396,11:05:00
2023-10-13,910.3,911.0,910.0,911.0,25751,11:10:00
2023-10-13,911.0,911.0,910.0,910.85,28225,11:15:00
2023-10-13,910.85,911.25,910.1,911.05,18944,11:20:00
2023-10-13,910.7,911.35,910.2,910.6,24388,11:25:00
2023-10-13,911.05,911.3,909.5,909.75,50969,11:30:00
2023-10-13,909.75,910.0,906.1,906.95,71918,11:35:00
2023-10-13,906.95,907.8,905.15,906.0,60378,11:40:00
2023-10-13,906.0,908.3,905.75,906.85,27932,11:45:00
2023-10-13,906.7,907.15,905.85,906.8,33079,11:50:00
2023-10-13,906.6,907.95,906.0,906.95,31088,11:55:00
2023-10-13,906.85,909.25,906.55,907.5,63859,12:00:00
2023-10-13,907.5,909.9,907.35,909.2,42810,12:05:00
2023-10-13,909.2,909.95,908.6,909.3,52535,12:10:00
2023-10-13,909.25,909.75,908.1,908.45,43478,12:15:00
2023-10-13,908.45,909.9,908.15,909.6,32972,12:20:00
2023-10-13,909.55,911.5,909.15,911.5,60287,12:25:00
2023-10-13,911.4,911.8,910.2,910.9,49574,12:30:00
2023-10-13,910.95,911.95,910.0,911.4,60307,12:35:00
2023-10-13,911.1,914.05,911.05,913.7,63245,12:40:00
2023-10-13,913.9,916.75,913.4,915.85,148126,12:45:00
2023-10-13,915.85,917.5,915.2,915.2,99471,12:50:00
2023-10-13,915.25,916.65,914.5,915.6,75879,12:55:00
2023-10-13,915.95,917.4,915.25,917.4,96271,13:00:00
2023-10-13,917.4,918.0,915.6,915.6,70358,13:05:00
2023-10-13,915.6,916.9,913.65,915.3,74062,13:10:00
2023-10-13,915.3,915.6,912.4,913.6,61208,13:15:00
2023-10-13,913.3,914.25,911.8,912.75,63349,13:20:00
2023-10-13,912.75,915.25,912.15,913.9,74001,13:25:00
2023-10-13,914.0,914.8,913.25,913.4,22173,13:30:00
2023-10-13,913.45,913.45,912.5,912.85,14360,13:35:00
2023-10-13,912.9,914.0,912.45,913.95,15094,13:40:00
2023-10-13,913.55,913.95,912.7,912.8,7136,13:45:00
